predicate,frequency
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,113715836
<http://www.w3.org/2002/07/owl#sameAs>,33623686
<http://purl.org/dc/terms/subject>,23990492
<http://www.w3.org/2000/01/rdf-schema#label>,22430849
<http://www.w3.org/ns/prov#wasDerivedFrom>,15801282
<http://dbpedia.org/ontology/wikiPageID>,15797808
<http://dbpedia.org/ontology/wikiPageRevisionID>,15797808
<http://purl.org/dc/elements/1.1/language>,12845235
<http://xmlns.com/foaf/0.1/primaryTopic>,12845232
<http://xmlns.com/foaf/0.1/isPrimaryTopicOf>,12845231
<http://www.w3.org/2000/01/rdf-schema#comment>,12391806
<http://dbpedia.org/ontology/abstract>,12390573
<http://dbpedia.org/ontology/wikiPageExternalLink>,7772273
<http://dbpedia.org/ontology/wikiPageRedirects>,7632357
<http://xmlns.com/foaf/0.1/name>,4146578
<http://purl.org/linguistics/gold/hypernym>,4090046
<http://www.w3.org/2004/02/skos/core#broader>,3080338
<http://purl.org/dc/elements/1.1/rights>,2897004
<http://dbpedia.org/ontology/team>,2007122
<http://dbpedia.org/ontology/birthDate>,1740611
<http://xmlns.com/foaf/0.1/depiction>,1698618
<http://dbpedia.org/ontology/thumbnail>,1695460
<http://dbpedia.org/property/title>,1566113
<http://dbpedia.org/ontology/wikiPageDisambiguates>,1537180
<http://www.w3.org/2004/02/skos/core#prefLabel>,1475015
<http://xmlns.com/foaf/0.1/thumbnail>,1448505
<http://xmlns.com/foaf/0.1/gender>,1418206
<http://dbpedia.org/ontology/birthPlace>,1330295
<http://dbpedia.org/property/subdivisionType>,1321475
<http://purl.org/dc/terms/description>,1289106
<http://xmlns.com/foaf/0.1/givenName>,1175373
<http://www.w3.org/2003/01/geo/wgs84_pos#geometry>,1066106
<http://www.w3.org/2003/01/geo/wgs84_pos#long>,1023236
<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,1023228
<http://www.georss.org/georss/point>,1022609
<http://dbpedia.org/ontology/careerStation>,977021
<http://dbpedia.org/property/date>,944061
<http://dbpedia.org/ontology/years>,927710
<http://dbpedia.org/ontology/isPartOf>,912054
<http://xmlns.com/foaf/0.1/surname>,890726
<http://dbpedia.org/property/goals>,886201
<http://dbpedia.org/ontology/country>,769223
<http://dbpedia.org/property/name>,768426
<http://xmlns.com/foaf/0.1/homepage>,758153
<http://dbpedia.org/property/rd1Team>,743821
<http://dbpedia.org/property/length>,730642
<http://dbpedia.org/ontology/deathDate>,721196
<http://dbpedia.org/property/votes>,666819
<http://dbpedia.org/ontology/numberOfGoals>,650801
<http://dbpedia.org/ontology/numberOfMatches>,645122
<http://dbpedia.org/property/caption>,643977
<http://dbpedia.org/ontology/genre>,576001
<http://www.w3.org/2000/01/rdf-schema#subClassOf>,570397
<http://www.w3.org/2002/07/owl#equivalentClass>,569240
<http://dbpedia.org/property/percentage>,541773
<http://dbpedia.org/property/candidate>,524742
<http://dbpedia.org/ontology/utcOffset>,445717
<http://dbpedia.org/property/wordnet_type>,437797
<http://dbpedia.org/property/rd2Team>,431811
<http://dbpedia.org/ontology/starring>,422637
<http://dbpedia.org/ontology/location>,413893
<http://dbpedia.org/ontology/deathPlace>,406619
<http://dbpedia.org/property/report>,405462
<http://dbpedia.org/ontology/type>,403198
<http://dbpedia.org/ontology/family>,397277
<http://dbpedia.org/property/score>,384092
<http://dbpedia.org/property/years>,378852
<http://dbpedia.org/ontology/timeZone>,377227
<http://dbpedia.org/property/team>,375998
<http://dbpedia.org/property/latns>,356454
<http://dbpedia.org/property/longew>,355571
<http://dbpedia.org/ontology/order>,355123
<http://dbpedia.org/property/type>,349320
<http://dbpedia.org/property/longd>,347272
<http://dbpedia.org/property/latd>,347262
<http://dbpedia.org/property/location>,345671
<http://dbpedia.org/ontology/occupation>,335401
<http://dbpedia.org/ontology/populationTotal>,327277
<http://dbpedia.org/property/stadium>,324025
<http://dbpedia.org/ontology/class>,323249
<http://dbpedia.org/ontology/currentMember>,318768
<http://dbpedia.org/property/attendance>,308511
<http://dbpedia.org/property/latm>,302656
<http://dbpedia.org/property/longm>,302655
<http://dbpedia.org/property/episodenumber>,299121
<http://dbpedia.org/ontology/kingdom>,296341
<http://dbpedia.org/property/country>,294580
<http://dbpedia.org/ontology/recordLabel>,282756
<http://dbpedia.org/property/coordinatesDisplay>,281862
<http://dbpedia.org/ontology/Work/runtime>,274334
<http://dbpedia.org/ontology/runtime>,274334
<http://dbpedia.org/property/pushpinMap>,271930
<http://dbpedia.org/property/rd1Score>,263103
<http://dbpedia.org/ontology/producer>,260764
<http://dbpedia.org/property/referee>,254980
<http://dbpedia.org/property/originalairdate>,254958
<http://dbpedia.org/ontology/activeYearsStartYear>,254812
<http://dbpedia.org/ontology/synonym>,253511
<http://dbpedia.org/property/change>,248731
<http://dbpedia.org/property/populationAsOf>,247872
<http://dbpedia.org/ontology/elevation>,247824
<http://dbpedia.org/ontology/title>,247497
<http://dbpedia.org/ontology/squadNumber>,245563
<http://dbpedia.org/property/coordinatesRegion>,245176
<http://dbpedia.org/ontology/phylum>,244881
<http://dbpedia.org/ontology/position>,240407
<http://dbpedia.org/property/species>,239010
<http://dbpedia.org/property/writer>,235297
<http://dbpedia.org/property/lats>,227408
<http://dbpedia.org/property/longs>,227223
<http://dbpedia.org/property/binomial>,225926
<http://dbpedia.org/ontology/genus>,224428
<http://dbpedia.org/property/shortsummary>,218671
<http://dbpedia.org/property/after>,213724
<http://dbpedia.org/property/before>,213256
<http://dbpedia.org/property/rd2Score>,213209
<http://dbpedia.org/ontology/releaseDate>,212290
<http://dbpedia.org/property/rd3Team>,210919
<http://dbpedia.org/property/time>,210445
<http://dbpedia.org/property/rev>,204445
<http://dbpedia.org/ontology/height>,202143
<http://dbpedia.org/ontology/writer>,200969
<http://dbpedia.org/property/opponent>,195286
<http://dbpedia.org/property/lat>,193175
<http://dbpedia.org/ontology/postalCode>,188395
<http://dbpedia.org/property/lon>,187484
<http://dbpedia.org/property/year>,186342
<http://dbpedia.org/property/pos>,185384
<http://dbpedia.org/property/rd1Seed>,181541
<http://www.w3.org/2000/01/rdf-schema#seeAlso>,180729
<http://dbpedia.org/ontology/areaTotal>,179581
<http://dbpedia.org/ontology/office>,177681
<http://dbpedia.org/property/p>,177346
<http://dbpedia.org/property/t>,169841
<http://dbpedia.org/ontology/PopulatedPlace/areaTotal>,164740
<http://dbpedia.org/property/round>,162077
<http://dbpedia.org/property/cover>,160485
<http://dbpedia.org/property/attend>,160269
<http://dbpedia.org/ontology/birthYear>,160047
<http://dbpedia.org/ontology/subsequentWork>,159732
